Name	Data Types	Default Task	Attribute Types	# Instances	# Attributes	Year	Missing Values	Area
Abalone	Multivariate 	Classification 	Categorical, Integer, Real 	4177 	8 	1995 	No	Life
Adult	Multivariate 	Classification 	Categorical, Integer 	48842 	14 	1996 	Yes	Social
Annealing	Multivariate 	Classification 	Categorical, Integer, Real 	798 	38 	NA	Yes	Physical
Anonymous Microsoft Web Data	NA	Recommender-Systems 	Categorical 	37711 	294 	1998 	NA	Computer
Arrhythmia	Multivariate 	Classification 	Categorical, Integer, Real 	452 	279 	1998 	Yes	Life
Artificial Characters	Multivariate 	Classification 	Categorical, Integer, Real 	6000 	7 	1992 	No	Computer
Audiology (Original)	Multivariate 	Classification 	Categorical 	226 	NA	1987 	Yes	Life
Audiology (Standardized)	Multivariate 	Classification 	Categorical 	226 	69 	1992 	Yes	Life
Auto MPG	Multivariate 	Regression 	Categorical, Real 	398 	8 	1993 	Yes	NA
Automobile	Multivariate 	Regression 	Categorical, Integer, Real 	205 	26 	1987 	Yes	NA
Badges	Univariate, Text 	Classification 	NA	294 	1 	1994 	No	NA
Balance Scale	Multivariate 	Classification 	Categorical 	625 	4 	1994 	No	Social
Balloons	Multivariate 	Classification 	Categorical 	16 	4 	NA	No	Social
Breast Cancer	Multivariate 	Classification 	Categorical 	286 	9 	1988 	Yes	Life
Breast Cancer Wisconsin (Original)	Multivariate 	Classification 	Integer 	699 	10 	1992 	Yes	Life
Breast Cancer Wisconsin (Prognostic)	Multivariate 	Classification, Regression 	Real 	198 	34 	1995 	Yes	Life
Breast Cancer Wisconsin (Diagnostic)	Multivariate 	Classification 	Real 	569 	32 	1995 	No	Life
Pittsburgh Bridges	Multivariate 	Classification 	Categorical, Integer 	108 	13 	1990 	Yes	NA
Car Evaluation	Multivariate 	Classification 	Categorical 	1728 	6 	1997 	No	NA
Census Income	Multivariate 	Classification 	Categorical, Integer 	48842 	14 	1996 	Yes	Social
Chess (King-Rook vs. King-Knight)	Multivariate, Data-Generator 	Classification 	Categorical, Integer 		22 	1988 	No	Game
Chess (King-Rook vs. King-Pawn)	Multivariate 	Classification 	Categorical 	3196 	36 	1989 	No	Game
Chess (King-Rook vs. King)	Multivariate 	Classification 	Categorical, Integer 	28056 	6 	1994 	No	Game
Chess (Domain Theories)	Domain-Theory 	NA	NA	NA	NA	NA	NA	Game
Bach Chorales	Univariate, Time-Series 	NA	Categorical, Integer 	100 	6 	NA	No	NA
Connect-4	Multivariate, Spatial 	Classification 	Categorical 	67557 	42 	1995 	No	Game
Credit Approval	Multivariate 	Classification 	Categorical, Integer, Real 	690 	15 	NA	Yes	Financial
Japanese Credit Screening	Multivariate, Domain-Theory 	Classification 	Categorical, Real, Integer 	125 	NA	1992 	NA	Financial
Computer Hardware	Multivariate 	Regression 	Integer 	209 	9 	1987 	No	Computer
Contraceptive Method Choice	Multivariate 	Classification 	Categorical, Integer 	1473 	9 	1997 	No	Life
Covertype	Multivariate 	Classification 	Categorical, Integer 	581012 	54 	1998 	No	Life
Cylinder Bands	Multivariate 	Classification 	Categorical, Integer, Real 	512 	39 	1995 	Yes	Physical
Dermatology	Multivariate 	Classification 	Categorical, Integer 	366 	33 	1998 	Yes	Life
Diabetes	Multivariate, Time-Series 	NA	Categorical, Integer 		20 	NA	NA	Life
DGP2 - The Second Data Generation Program	Data-Generator 	NA	Real 	NA	NA	NA	NA	NA
Document Understanding	NA	NA	NA	NA	NA	1994 	No	NA
EBL Domain Theories	NA	NA	NA	NA	NA	NA	NA	Computer
Echocardiogram	Multivariate 	Classification 	Categorical, Integer, Real 	132 	12 	1989 	Yes	Life
Ecoli	Multivariate 	Classification 	Real 	336 	8 	1996 	No	Life
Flags	Multivariate 	Classification 	Categorical, Integer 	194 	30 	1990 	No	NA
Function Finding	NA	Function-Learning 	Real 	352 	NA	1990 	No	Physical
Glass Identification	Multivariate 	Classification 	Real 	214 	10 	1987 	No	Physical
Haberman's Survival	Multivariate 	Classification 	Integer 	306 	3 	1999 	No	Life
Hayes-Roth	Multivariate 	Classification 	Categorical 	160 	5 	1989 	No	Social
Heart Disease	Multivariate 	Classification 	Categorical, Integer, Real 	303 	75 	1988 	Yes	Life
Hepatitis	Multivariate 	Classification 	Categorical, Integer, Real 	155 	19 	1988 	Yes	Life
Horse Colic	Multivariate 	Classification 	Categorical, Integer, Real 	368 	27 	1989 	Yes	Life
Housing	Multivariate 	Regression 	Categorical, Integer, Real 	506 	14 	1993 	No	NA
ICU	Multivariate, Time-Series 	NA	Real 	NA	NA	NA	No	Life
